,Bybit_ask,Bybit_bid,Bybit_tiker,Binance_ask,Binance_bid,Binance_tiker,Coinbase Pro_ask,Coinbase Pro_bid,Coinbase Pro_tiker,FTX_ask,FTX_bid,FTX_tiker
2022/2/8 20:05:16,0.750516606,0.249483394,43978,0.420152271,0.579847729,43977,0.628414527,0.371585473,43991.12,0.611223929,0.388776071,43981
2022/2/8 20:05:24,0.495498849,0.504501151,43978.5,0.544543557,0.455456443,43986.59,0.560714511,0.439285489,43991.12,0.540054291,0.459945709,43981
2022/2/8 20:05:32,0.366966023,0.633033977,43978,0.682589467,0.317410533,44003.07,0.547322067,0.452677933,43991.12,0.527345064,0.472654936,43997
2022/2/8 20:05:41,0.025410705,0.974589295,43979.5,0.83387722,0.16612278,44007.46,0.45241507,0.54758493,44011.35,0.287577213,0.712422787,44003
2022/2/8 20:05:48,0.127320812,0.872679188,43999,0.774091852,0.225908148,44026.26,0.496460711,0.503539289,44011.35,0.578462877,0.421537123,44030
2022/2/8 20:05:56,0.250174821,0.749825179,44000,0.638780254,0.361219746,44016.6,0.389654448,0.610345552,44011.35,0.524274112,0.475725888,44029
2022/2/8 20:06:04,0.385252125,0.614747875,44000,0.829014521,0.170985479,44013.93,0.382947006,0.617052994,44011.35,0.434615916,0.565384084,44029
2022/2/8 20:06:14,0.897371213,0.102628787,43989.5,0.783047504,0.216952496,43987.58,0.484202691,0.515797309,44003.13,0.614713144,0.385286856,43992
2022/2/8 20:06:23,0.918695076,0.081304924,43978,0.910928019,0.089071981,43977,0.606609324,0.393390676,43977.91,0.532186836,0.467813164,43979
2022/2/8 20:06:31,0.972091986,0.027908014,43976,0.271259532,0.728740468,43967.76,0.515202322,0.484797678,43977.91,0.485058986,0.514941014,43975
2022/2/8 20:06:39,0.57544063,0.42455937,43950.5,0.512156788,0.487843212,43962.11,0.525437924,0.474562076,43950.47,0.664890459,0.335109541,43955
2022/2/8 20:06:48,0.497109034,0.502890966,43950.5,0.114717329,0.885282671,43968.16,0.478686126,0.521313874,43961.51,0.620344613,0.379655387,43956
